Run,Carpeta,Seed,Tiempo (seg),Tiempo (horas),Evaluaciones,Tamaño Población,Procesadores,Mejor Fitness,Media Mejor Fitness x Gen,Std Mejor Fitness x Gen,Media Fitness Pob. Final,Std Fitness Pob. Final
1,GABotsLit_10262025-201605,1761509765,64654.502307891846,17.9595839744144,1500,30,12,11.5,10.18,0.6764613810115105,9.7,0.439696865275764
2,GABotsLit_10272025-141339,1761574419,65148.14328455925,18.096706467933124,1500,30,12,11.5,11.5,0.0,9.75,0.4425306015783918
3,GABotsLit_10282025-081927,1761639567,65368.4628033638,18.15790633426772,1500,30,12,10.5,10.48,0.13999999999999999,9.766666666666667,0.3815174380753199
4,GABotsLit_10292025-022856,1761704936,63651.215992212296,17.680893331170083,1500,30,12,10.5,10.08,0.20880613017821104,9.633333333333333,0.2560381915956203
5,GABotsLit_10292025-200947,1761768587,63240.69807648659,17.56686057680183,1500,30,12,10.5,10.07,0.2238302928559939,9.616666666666667,0.24776781245530843
6,GABotsLit_10302025-134348,1761831828,63721.47994327545,17.70041109535429,1500,30,12,10.5,10.33,0.3950949253027682,9.616666666666667,0.2793842435706701
7,GABotsLit_10312025-072549,1761895549,64441.124749183655,17.900312430328793,1500,30,12,10.5,10.44,0.23748684174075835,9.633333333333333,0.2867441755680875
8,GABotsLit_11012025-011950,1761959990,63215.25945162773,17.559794292118813,1500,30,12,10.5,10.18,0.5075431016179808,9.633333333333333,0.339934634239519
9,GABotsLit_11012025-185326,1762023206,63964.59019303322,17.767941720287006,1500,30,12,10.5,10.35,0.28722813232690136,9.7,0.35590260840104365
10,GABotsLit_11022025-123930,1762087170,63269.860663414,17.57496129539278,1500,30,12,10.5,10.41,0.25865034312755125,9.716666666666667,0.38042374035044424
